Project_ID,Project_Name,Project_Type,Region,State,Client_Type,Contract_Type,Delivery_Method,Complexity_Level,Digital_Coordination_Level,Owner_Decision_Profile,Start_Date,Snapshot_Date,Snapshot_Year,Original_Budget,Planned_Duration_Days,Planned_Percent_Complete,Actual_Percent_Complete,CPI_Snapshot,SPI_Snapshot,Cost_Variance_Pct_Snapshot,Schedule_Variance_Days_Snapshot,Labor_Productivity_Index,Procurement_Delay_Days_to_Date,Weather_Impact_Days_to_Date,Safety_Incident_Rate_to_Date,Snapshot_Data_Completeness_Pct
PRJ3-00024,Aspen Retail Center 24,Commercial,West,OR,Private,Guaranteed Maximum Price,CMAR,Low,Moderate,Standard,2021-08-24,2022-08-23,2022,59923000,630,0.578,0.56,1.039,0.9763,-0.0439,11,0.9605,14,9,0.372,0.9621
PRJ3-00025,Harbor Civic Complex 25,Institutional,Southeast,VA,Private,Guaranteed Maximum Price,CMAR,High,High,Standard,2025-01-23,2025-11-16,2025,113971800,825,0.361,0.3745,0.9389,1.0085,0.0116,-11,0.8955,21,12,0.377,0.9515
PRJ3-00026,Crescent Earthworks Package 26,Heavy Civil,Northeast,MA,Public,Guaranteed Maximum Price,Design-Build,Low,High,Slow,2021-12-20,2023-10-11,2023,89824400,1157,0.571,0.5474,1.031,0.9343,-0.0085,27,1.075,28,25,0.086,0.9559
PRJ3-00027,Horizon Distribution Hub 27,Industrial,West,WA,Public,Lump Sum,Design-Build,High,Low,Slow,2019-09-23,2020-08-04,2020,163339300,869,0.364,0.3019,0.8835,0.9193,0.0506,54,0.8858,10,8,0.826,0.9582
PRJ3-00028,Canyon Neighborhood 28,Residential,West,NV,Public,Lump Sum,Design-Build,High,Moderate,Fast,2020-10-06,2021-06-25,2021,43396500,553,0.475,0.4915,1.0522,1.027,-0.0316,-9,1.0023,17,0,0.718,0.9751
PRJ3-00029,Crescent Earthworks Package 29,Heavy Civil,Midwest,IL,Private,Unit Price,Design-Bid-Build,High,High,Slow,2022-05-01,2024-02-06,2024,186143700,1244,0.52,0.4598,0.9393,0.8835,0.0326,75,1.0187,17,9,0.803,0.9543
PRJ3-00030,Mesa Apartments 30,Residential,Midwest,MO,Private,Guaranteed Maximum Price,IPD,Moderate,Low,Standard,2024-09-01,2025-03-24,2025,92534900,534,0.383,0.3819,1.0305,0.9808,-0.0007,1,1.0443,19,8,0.456,0.9465
PRJ3-00031,Horizon Housing 31,Residential,West,CA,Private,Guaranteed Maximum Price,Design-Bid-Build,High,Moderate,Slow,2021-03-17,2021-09-19,2021,84284900,417,0.448,0.4049,0.9805,0.8985,0.0077,18,0.9083,7,4,0.758,0.9622
PRJ3-00032,Gateway Distribution Hub 32,Industrial,Mountain,ID,Public,Lump Sum,Design-Bid-Build,Very High,High,Fast,2023-02-24,2024-03-25,2024,580334300,867,0.456,0.4318,0.9021,0.9406,0.0504,21,0.9563,10,22,1.083,0.9732
PRJ3-00033,Evergreen Residences 33,Residential,Northeast,PA,Private,Lump Sum,Design-Build,Low,Low,Fast,2024-08-15,2025-04-19,2025,53542600,629,0.394,0.4185,0.9314,1.002,0.0175,-15,1.0222,0,17,0.609,0.9679
PRJ3-00034,Horizon Neighborhood 34,Residential,Southeast,TN,Private,Guaranteed Maximum Price,Design-Bid-Build,Very High,Low,Slow,2024-10-10,2025-08-16,2025,128946600,871,0.356,0.3425,0.9118,0.9217,0.0267,12,0.9685,38,27,0.918,0.9482
PRJ3-00035,Mesa Neighborhood 35,Residential,Southwest,NM,Private,Lump Sum,CMAR,Very High,High,Standard,2019-03-12,2019-11-27,2019,31174100,636,0.409,0.4341,1.0162,0.9807,-0.0148,-16,0.904,19,20,0.807,0.9817
PRJ3-00036,Liberty Distribution Hub 36,Industrial,Southeast,VA,Private,Lump Sum,Design-Build,Moderate,High,Standard,2020-09-21,2021-10-05,2021,78968800,932,0.407,0.414,0.9144,1.031,0.0448,-7,0.9926,0,10,0.975,0.9676
PRJ3-00037,Lakeview Apartments 37,Residential,Southeast,TN,Private,Lump Sum,IPD,Moderate,High,Slow,2023-11-15,2024-06-09,2024,31053000,540,0.384,0.4476,0.9401,1.1103,0.0293,-34,1.0238,0,5,0.401,0.9474
PRJ3-00038,Northstar Civic Complex 38,Institutional,Southeast,GA,Public,Unit Price,Design-Bid-Build,Low,High,Standard,2018-04-07,2019-02-25,2019,143930500,735,0.441,0.4258,0.9739,0.9512,0.0139,11,1.0659,2,9,0.362,0.9711
PRJ3-00039,Pioneer Distribution Hub 39,Industrial,Mountain,UT,Private,Unit Price,Design-Bid-Build,High,Moderate,Slow,2021-10-16,2022-08-17,2022,130350200,854,0.358,0.3083,0.7668,0.8115,0.0832,42,0.8654,21,4,0.907,0.9574
PRJ3-00040,Granite Bridge Program 40,Heavy Civil,Southwest,NM,Private,Cost Plus,Design-Build,Moderate,Moderate,Slow,2024-07-13,2025-05-19,2025,382453500,784,0.396,0.3773,0.8807,0.9496,0.034,15,0.9976,20,1,0.491,0.9316
PRJ3-00041,Copper Retail Center 41,Commercial,West,WA,Private,Lump Sum,Design-Bid-Build,Low,High,Standard,2022-05-04,2023-01-10,2023,102123600,597,0.422,0.42,0.9841,0.9663,0.0071,1,1.0359,4,14,0.471,0.9767
PRJ3-00042,Lakeview Earthworks Package 42,Heavy Civil,West,CA,Public,Guaranteed Maximum Price,CMAR,Moderate,High,Slow,2020-04-05,2021-06-26,2021,122393400,963,0.465,0.4165,1.014,0.9127,0.0185,47,0.9538,11,12,0.949,0.9473
PRJ3-00043,Granite Neighborhood 43,Residential,West,OR,Private,Cost Plus,Design-Bid-Build,Moderate,Moderate,Fast,2024-05-01,2025-05-28,2025,32850400,822,0.477,0.466,1.0006,0.9823,-0.0173,9,0.9274,5,12,0.61,0.9764
PRJ3-00044,Granite Neighborhood 44,Residential,Mountain,ID,Public,Guaranteed Maximum Price,CMAR,Moderate,Moderate,Standard,2024-07-12,2025-03-26,2025,50073000,621,0.414,0.4343,1.0437,1.0067,-0.0274,-13,1.034,0,0,0.712,0.9855
PRJ3-00045,Northstar Corporate Center 45,Commercial,West,OR,Public,Lump Sum,CMAR,Moderate,High,Fast,2021-10-08,2022-08-16,2022,46169500,555,0.563,0.5606,1.0749,0.9773,-0.0388,1,1.0281,0,12,0.436,0.999
PRJ3-00046,Lakeview Utility Corridor 46,Infrastructure,Mountain,CO,Public,Guaranteed Maximum Price,CMAR,Moderate,Moderate,Fast,2021-06-24,2023-08-19,2023,187488400,1335,0.589,0.6162,1.0362,0.999,-0.0172,-36,1.0579,16,15,0.771,0.9762
PRJ3-00047,Cedar Research Facility 47,Institutional,Southeast,TN,Public,Guaranteed Maximum Price,Design-Bid-Build,Low,Moderate,Fast,2019-01-22,2020-06-17,2020,134034300,875,0.586,0.5039,0.9931,0.8896,0.0037,72,0.9883,10,20,0.662,0.9743
PRJ3-00048,Northstar Distribution Hub 48,Industrial,Southeast,GA,Public-Private Partnership,Unit Price,Design-Bid-Build,High,High,Fast,2017-12-05,2019-01-10,2019,90239800,942,0.426,0.4244,0.9386,1.0149,0.0287,2,1.0748,12,13,0.277,0.9534
PRJ3-00049,Evergreen Apartments 49,Residential,Midwest,OH,Public-Private Partnership,Guaranteed Maximum Price,IPD,Moderate,Moderate,Standard,2021-11-19,2022-07-28,2022,16846000,498,0.506,0.4492,1.0503,0.9832,-0.0053,28,0.942,0,19,0.676,0.9791
PRJ3-00050,Gateway Earthworks Package 50,Heavy Civil,Midwest,MI,Private,Lump Sum,Design-Bid-Build,Moderate,Low,Standard,2020-05-08,2021-08-08,2021,172363300,1253,0.365,0.2937,0.8959,0.8819,0.0351,89,0.8699,39,9,0.597,0.9409
PRJ3-00051,Cedar Town Center 51,Mixed-Use,Southwest,NM,Public,Cost Plus,Design-Build,Moderate,Moderate,Standard,2022-02-12,2023-08-26,2023,107373300,950,0.59,0.5527,0.994,0.9963,-0.0141,35,1.0757,0,10,0.885,0.9613
PRJ3-00052,Cedar Office Campus 52,Commercial,West,NV,Public,Guaranteed Maximum Price,Design-Bid-Build,High,Low,Fast,2023-04-16,2024-03-13,2024,41602700,668,0.498,0.4646,0.9866,0.9303,0.0042,22,1.0723,27,5,0.866,0.9526
PRJ3-00053,Riverside Water Program 53,Heavy Civil,Southwest,TX,Private,Unit Price,CMAR,Moderate,High,Standard,2023-01-19,2024-08-22,2024,394699900,1181,0.492,0.4614,1.0159,0.887,-0.0119,36,1.1064,0,6,0.218,0.9686
PRJ3-00054,Summit Public Works Program 54,Infrastructure,West,WA,Private,Guaranteed Maximum Price,Design-Bid-Build,Moderate,High,Fast,2019-01-23,2020-07-07,2020,102186400,1418,0.375,0.4,1.0197,1.0604,-0.0135,-35,1.0251,0,6,0.695,0.9691
PRJ3-00055,Crescent Earthworks Package 55,Heavy Civil,West,NV,Private,Cost Plus,CMAR,High,Low,Slow,2019-12-18,2021-02-27,2021,73151900,1020,0.429,0.4344,0.9094,1.0031,0.0376,-6,0.9523,26,8,0.801,0.9705
PRJ3-00056,Canyon Transit Program 56,Infrastructure,Southeast,GA,Private,Lump Sum,Design-Build,Moderate,Moderate,Fast,2023-04-17,2025-02-20,2025,230732700,1434,0.471,0.4779,1.0149,1.0265,-0.0149,-10,0.9894,23,22,0.328,0.966
PRJ3-00057,Redwood Medical Center 57,Institutional,Southwest,TX,Private,Unit Price,CMAR,Low,Moderate,Fast,2023-06-15,2024-09-04,2024,166895500,819,0.546,0.5032,0.9935,0.9291,0.0138,35,1.0629,0,0,0.665,0.9833
PRJ3-00058,Cedar Marketplace 58,Commercial,Mountain,ID,Private,Lump Sum,Design-Build,Low,Moderate,Fast,2021-12-19,2022-08-04,2022,78232200,563,0.405,0.4142,1.0597,0.9976,-0.0261,-5,1.1144,0,18,0.491,0.9709
PRJ3-00059,Canyon Airport Improvements 59,Infrastructure,Northeast,MA,Private,Guaranteed Maximum Price,CMAR,High,Low,Standard,2023-05-10,2024-12-10,2024,198366700,1380,0.421,0.3424,0.8762,0.8573,0.0431,108,0.8608,42,20,0.755,0.9591
PRJ3-00060,Northstar Apartments 60,Residential,West,WA,Public,Cost Plus,Design-Build,Low,Moderate,Slow,2018-04-07,2019-02-25,2019,104450400,624,0.52,0.5238,0.9338,0.9952,0.03,-2,1.0572,13,5,0.377,0.9787
PRJ3-00061,Aspen Process Plant 61,Industrial,West,NV,Private,Lump Sum,CMAR,High,High,Standard,2020-11-07,2021-10-23,2021,266369500,820,0.427,0.4248,0.9408,0.9551,0.0447,2,0.9574,5,12,1.115,0.9658
PRJ3-00062,Copper Medical Center 62,Institutional,Southeast,GA,Public,Unit Price,Design-Build,Very High,Moderate,Standard,2023-06-25,2025-05-24,2025,118084300,1282,0.546,0.5014,0.9748,0.9474,0.0038,57,0.9383,29,20,0.402,0.9517
PRJ3-00063,Summit Public Works Program 63,Infrastructure,West,NV,Private,Lump Sum,Design-Build,High,Moderate,Standard,2019-02-10,2020-05-08,2020,550930600,1127,0.402,0.3394,0.9383,0.8888,0.0309,71,0.992,8,4,0.598,0.9601
PRJ3-00064,Gateway Office Campus 64,Commercial,Midwest,OH,Private,Lump Sum,IPD,Very High,Low,Standard,2024-03-24,2025-06-22,2025,111691000,781,0.583,0.5408,0.8762,0.955,0.0708,33,0.9769,13,17,0.411,0.951
PRJ3-00065,Cedar Residences 65,Residential,Southeast,NC,Public,Lump Sum,Design-Bid-Build,Moderate,Moderate,Standard,2024-08-16,2025-08-21,2025,74410300,791,0.469,0.5041,0.8886,1.0431,0.0738,-28,0.9488,14,20,0.538,0.9829
PRJ3-00066,Cedar Logistics Center 66,Industrial,West,OR,Public-Private Partnership,Guaranteed Maximum Price,Design-Bid-Build,High,High,Standard,2020-08-12,2021-09-17,2021,261704500,915,0.439,0.4509,0.9175,1.0205,0.0561,-11,0.9897,0,9,0.651,0.9938
PRJ3-00067,Canyon Town Center 67,Mixed-Use,Midwest,MN,Private,Lump Sum,Design-Build,Low,High,Fast,2020-05-16,2021-05-30,2021,213424800,856,0.443,0.4544,0.9575,1.0094,0.0295,-10,1.0564,22,11,0.485,0.9666
PRJ3-00068,Cedar Urban Village 68,Mixed-Use,Mountain,MT,Public-Private Partnership,Guaranteed Maximum Price,CMAR,Low,High,Fast,2019-08-20,2020-08-07,2020,178393000,869,0.407,0.4656,1.0391,1.0387,-0.0082,-51,1.0632,13,11,0.644,0.9872
PRJ3-00069,Cedar Residences 69,Residential,West,OR,Private,Lump Sum,IPD,High,Low,Standard,2018-05-31,2019-06-26,2019,40145300,712,0.55,0.5445,0.9787,1.0133,0.0088,4,0.9423,11,9,0.608,0.953
PRJ3-00070,Riverside Civic Complex 70,Institutional,Midwest,MI,Public,Cost Plus,Design-Build,High,Low,Standard,2021-03-07,2022-04-27,2022,136543100,991,0.42,0.4237,0.9265,0.9537,0.0089,-4,0.9355,33,12,0.392,0.9464
PRJ3-00071,Granite Distribution Hub 71,Industrial,Southeast,FL,Public,Guaranteed Maximum Price,IPD,High,Moderate,Standard,2021-05-04,2022-09-19,2022,112101600,996,0.506,0.5159,1.0242,1.0233,-0.0292,-10,0.9607,5,5,0.481,0.9465
PRJ3-00072,Evergreen Corporate Center 72,Commercial,Midwest,MI,Private,Lump Sum,CMAR,High,High,Standard,2024-09-19,2025-08-24,2025,162668200,720,0.472,0.4885,0.9788,1.0071,0.0239,-12,0.9843,18,10,0.408,0.9729
PRJ3-00073,Redwood Transit Program 73,Infrastructure,Mountain,CO,Private,Lump Sum,Design-Bid-Build,High,Low,Slow,2020-02-05,2021-05-13,2021,227632900,1236,0.375,0.3111,0.832,0.8562,0.065,79,0.8386,46,24,0.666,0.9547
PRJ3-00074,Northstar Airport Improvements 74,Infrastructure,Southeast,NC,Private,Guaranteed Maximum Price,IPD,Very High,Moderate,Slow,2022-11-26,2024-09-07,2024,198315600,1429,0.456,0.4112,1.0258,0.8938,0.0158,64,0.7948,23,18,0.791,0.9462
PRJ3-00075,Canyon Corporate Center 75,Commercial,Southeast,TN,Public,Unit Price,CMAR,Low,Moderate,Standard,2022-08-25,2023-02-08,2023,66837000,462,0.363,0.358,0.9866,1.0161,0.0083,2,1.0046,5,15,0.677,0.9607
PRJ3-00076,Summit Corporate Center 76,Commercial,West,NV,Public,Unit Price,Design-Bid-Build,Low,Low,Fast,2022-05-18,2023-06-05,2023,33468900,741,0.517,0.4922,1.0148,0.9735,-0.0039,18,1.0075,10,0,0.274,0.9631
PRJ3-00077,Pioneer Corporate Center 77,Commercial,Southwest,NM,Private,Lump Sum,Design-Bid-Build,Low,Moderate,Standard,2021-10-05,2022-07-23,2022,43048500,666,0.437,0.43,1.005,0.9858,-0.0061,5,1.0448,0,3,0.243,0.99
PRJ3-00078,Mesa Marketplace 78,Commercial,Northeast,NY,Public,Cost Plus,Design-Build,Low,High,Slow,2021-09-03,2022-05-19,2022,63067000,597,0.433,0.4329,1.1484,1.01,-0.0385,0,1.0783,32,15,0.556,0.9746
PRJ3-00079,Cedar Urban Village 79,Mixed-Use,Southeast,GA,Private,Guaranteed Maximum Price,Design-Build,Moderate,Low,Standard,2021-02-21,2022-01-28,2022,176528500,973,0.351,0.3492,0.9457,0.948,0.0104,2,0.9487,25,20,0.496,0.9689
PRJ3-00080,Aspen Process Plant 80,Industrial,Midwest,IL,Private,Guaranteed Maximum Price,CMAR,Moderate,Moderate,Slow,2023-08-05,2024-09-02,2024,109561300,865,0.456,0.3791,0.8913,0.9062,0.0356,66,0.9484,4,14,0.911,0.9741
PRJ3-00081,Lakeview Corporate Center 81,Commercial,West,CA,Private,Lump Sum,CMAR,Moderate,Low,Fast,2022-04-11,2023-03-08,2023,125470000,769,0.431,0.4548,0.9146,1.039,0.044,-18,0.9845,19,2,0.702,0.9777
PRJ3-00082,Evergreen Retail Center 82,Commercial,West,WA,Private,Guaranteed Maximum Price,CMAR,Moderate,Moderate,Standard,2019-01-23,2020-04-24,2020,177589600,957,0.478,0.4804,0.998,0.9881,-0.0222,-2,1.0865,18,8,0.364,0.9736
PRJ3-00083,Granite Airport Improvements 83,Infrastructure,West,NV,Public-Private Partnership,Guaranteed Maximum Price,IPD,Moderate,Low,Standard,2022-06-20,2024-03-26,2024,214617000,1147,0.563,0.5338,0.9283,0.9504,0.0427,33,0.9958,0,2,0.61,0.9498
PRJ3-00084,Gateway Earthworks Package 84,Heavy Civil,Midwest,OH,Private,Guaranteed Maximum Price,CMAR,High,Low,Standard,2024-12-24,2025-12-24,2025,96284900,996,0.367,0.3202,0.9282,0.877,0.0328,47,0.8914,48,5,0.948,0.9672
PRJ3-00085,Canyon Water Program 85,Heavy Civil,West,NV,Public,Guaranteed Maximum Price,Design-Build,Low,Low,Standard,2021-02-11,2022-03-28,2022,89357300,773,0.531,0.4964,1.0419,0.9612,-0.005,27,1.0213,0,0,0.429,0.9496
PRJ3-00086,Pioneer Bridge Program 86,Heavy Civil,Southwest,NM,Private,Unit Price,IPD,Moderate,Moderate,Fast,2024-01-09,2025-09-16,2025,210479200,1201,0.513,0.5247,0.9196,0.9871,0.0287,-14,1.0377,0,11,0.711,0.9742
PRJ3-00087,Canyon Research Facility 87,Institutional,West,OR,Public,Guaranteed Maximum Price,Design-Build,Moderate,Moderate,Slow,2020-01-21,2021-01-16,2021,127364300,637,0.567,0.4725,0.9797,0.8706,0.0072,60,1.0674,10,6,1.205,0.9563
PRJ3-00088,Harbor District 88,Mixed-Use,Southwest,AZ,Public,Cost Plus,Design-Bid-Build,Very High,Low,Fast,2024-03-17,2025-10-17,2025,112009700,1038,0.558,0.4826,0.839,0.8883,0.0902,78,0.8042,23,0,1.028,0.945
PRJ3-00089,Copper Medical Center 89,Institutional,West,NV,Private,Guaranteed Maximum Price,CMAR,Moderate,Moderate,Fast,2020-03-16,2021-08-16,2021,48383900,985,0.526,0.5239,1.0119,1.003,-0.0109,2,0.8799,6,9,0.551,0.9507
PRJ3-00090,Granite Transit Program 90,Infrastructure,Mountain,UT,Private,Cost Plus,Design-Bid-Build,Moderate,Moderate,Standard,2017-04-11,2019-09-28,2019,335872500,1513,0.595,0.5991,0.9093,1.0145,0.0416,-6,0.885,4,15,0.642,0.966
PRJ3-00091,Northstar Corporate Center 91,Commercial,Northeast,PA,Private,Cost Plus,Design-Bid-Build,Moderate,High,Standard,2024-07-02,2025-04-16,2025,60325300,696,0.415,0.4054,1.0158,1.0123,-0.0137,7,1.0984,4,13,0.284,0.9752
PRJ3-00092,Summit Medical Center 92,Institutional,Midwest,MN,Private,Lump Sum,Design-Bid-Build,Moderate,High,Slow,2023-02-02,2024-03-24,2024,111926300,782,0.533,0.4928,0.9722,0.9668,0.0185,31,0.8741,24,15,0.737,0.9681
PRJ3-00093,Pioneer Residences 93,Residential,Mountain,ID,Private,Unit Price,Design-Bid-Build,Very High,Moderate,Standard,2019-11-19,2020-12-11,2020,44671500,702,0.554,0.4984,0.9571,0.9475,0.0478,39,0.9139,35,14,1.117,0.9482
PRJ3-00094,Canyon Logistics Center 94,Industrial,Southwest,AZ,Private,Lump Sum,Design-Build,Very High,High,Slow,2019-03-15,2020-04-28,2020,196920200,948,0.433,0.4175,0.9136,0.9278,0.0446,15,0.9269,39,3,0.907,0.9712
PRJ3-00095,Harbor Transit-Oriented Development 95,Mixed-Use,Mountain,MT,Private,Guaranteed Maximum Price,CMAR,High,Low,Standard,2023-09-05,2025-02-13,2025,91607000,1187,0.444,0.4394,0.9645,0.9838,0.0228,5,0.9889,15,6,0.763,0.9585
PRJ3-00096,Harbor Education Center 96,Institutional,Mountain,CO,Private,Lump Sum,Design-Bid-Build,High,High,Standard,2022-06-07,2023-07-19,2023,144232200,936,0.435,0.4014,0.8356,0.9348,0.0652,31,0.9726,6,23,0.354,0.9513
PRJ3-00097,Crescent Bridge Program 97,Heavy Civil,West,NV,Private,Lump Sum,Design-Build,Low,Moderate,Fast,2024-07-06,2025-12-13,2025,151774500,1165,0.451,0.4573,1.0008,1.0433,-0.0099,-7,0.954,6,11,0,0.9834
PRJ3-00098,Aspen District 98,Mixed-Use,West,NV,Private,Lump Sum,CMAR,Very High,Moderate,Standard,2022-10-15,2023-10-09,2023,118153200,990,0.363,0.3181,0.915,0.9837,0.0314,44,0.8846,8,5,0.506,0.9587
PRJ3-00099,Pioneer Process Plant 99,Industrial,West,OR,Private,Guaranteed Maximum Price,CMAR,Moderate,Moderate,Fast,2019-01-16,2020-06-01,2020,124082000,921,0.546,0.57,1.009,1.0098,-0.0065,-22,0.9846,16,0,0.679,0.993
PRJ3-00100,Liberty Process Plant 100,Industrial,West,NV,Public,Lump Sum,Design-Bid-Build,High,Low,Standard,2021-05-18,2022-05-04,2022,791562200,894,0.393,0.4432,0.9842,1.041,0.019,-45,0.8463,35,19,0.44,0.9438
PRJ3-00101,Canyon Education Center 101,Institutional,Southwest,TX,Private,Guaranteed Maximum Price,CMAR,Low,Moderate,Fast,2022-09-23,2023-05-26,2023,99695700,582,0.422,0.4286,1.05,1.0159,0.0057,-4,1.0768,2,3,0.463,0.9821
PRJ3-00102,Summit Water Program 102,Heavy Civil,Mountain,ID,Private,Cost Plus,Design-Build,Moderate,Moderate,Standard,2021-12-10,2023-07-05,2023,139707100,1286,0.445,0.4591,0.9258,1.0576,0.0662,-18,0.9858,24,14,0.982,0.9729
PRJ3-00103,Summit Earthworks Package 103,Heavy Civil,West,WA,Public,Guaranteed Maximum Price,Design-Bid-Build,Low,Moderate,Standard,2022-09-18,2024-02-16,2024,296224200,914,0.565,0.5475,0.9667,1.0043,0.0297,16,1.0044,20,9,0.486,0.9781
